iter	Passed	Remaining
518	1299	1204
519	1301	1201
520	1303	1198
521	1305	1195
522	1308	1193
523	1311	1191
524	1312	1187
525	1314	1184
526	1317	1182
527	1319	1179
528	1321	1176
529	1326	1176
530	1328	1172
531	1329	1169
532	1331	1166
533	1334	1164
534	1336	1161
535	1340	1160
536	1342	1157
537	1344	1154
538	1346	1151
539	1347	1148
540	1349	1145
541	1351	1142
542	1354	1140
543	1357	1137
544	1358	1134
545	1360	1131
546	1362	1128
547	1364	1125
548	1366	1122
549	1369	1120
550	1371	1117
551	1373	1114
552	1375	1111
553	1377	1108
554	1379	1105
555	1380	1102
556	1383	1100
557	1386	1097
558	1387	1094
559	1389	1091
560	1391	1088
561	1393	1085
562	1394	1082
563	1396	1079
564	1399	1077
565	1402	1075
566	1404	1072
567	1406	1069
568	1408	1066
569	1410	1064
570	1415	1063
571	1417	1061
572	1420	1058
573	1421	1055
574	1423	1052
575	1425	1049
576	1427	1046
577	1431	1044
578	1433	1042
579	1435	1039
580	1436	1036
581	1438	1033
582	1440	1030
583	1442	1027
584	1447	1026
585	1448	1023
586	1450	1020
587	1452	1017
588	1454	1014
589	1456	1012
590	1458	1009
591	1462	1007
592	1463	1004
593	1465	1001
594	1467	998
595	1469	995
596	1471	993
597	1472	990
598	1475	987
599	1478	985
600	1480	982
601	1482	979
602	1484	977
603	1485	974
604	1489	972
605	1491	969
606	1493	966
607	1494	963
608	1496	961
609	1498	957
610	1500	955
611	1502	952
612	1506	951
613	1508	948
614	1509	945
615	1511	942
616	1513	939
617	1515	936
618	1517	933
619	1520	931
620	1522	929
621	1524	926
622	1526	923
623	1528	920
624	1530	918
625	1537	918
626	1540	916
627	1543	914
628	1546	911
629	1550	910
630	1553	908
631	1555	905
632	1556	902
633	1558	899
634	1560	897
635	1562	894
636	1565	892
637	1567	889
638	1569	886
639	1570	883
640	1572	880
641	1574	877
642	1576	875
643	1578	872
644	1580	870
645	1583	867
646	1584	864
647	1586	861
648	1588	859
649	1590	856
650	1591	853
651	1594	850
652	1597	848
653	1599	846
654	1601	843
655	1603	840
656	1605	837
657	1606	835
658	1611	833
659	1612	830
660	1614	828
661	1616	825
662	1618	822
663	1619	819
664	1621	816
665	1623	814
666	1627	812
667	1628	809
668	1630	806
669	1632	803
670	1634	801
671	1635	798
672	1637	795
673	1641	793
674	1643	791
675	1645	788
676	1647	785
677	1649	783
678	1651	780
679	1652	777
680	1656	775
681	1658	773
682	1660	770
683	1662	767
684	1664	765
685	1665	762
686	1667	759
687	1671	758
688	1673	755
689	1675	752
690	1677	750
691	1679	747
692	1680	744
693	1682	741
694	1685	739
695	1687	737
696	1689	734
697	1691	731
698	1693	729
699	1694	726
700	1696	723
701	1698	721
702	1701	719
703	1703	716
704	1705	713
705	1707	710
706	1708	708
707	1710	705
708	1712	702
709	1714	700
710	1717	698
711	1719	695
712	1721	692
713	1723	690
714	1725	687
715	1727	685
716	1728	682
717	1731	680
718	1733	677
719	1735	674
720	1737	672
721	1739	669
722	1741	667
723	1743	664
724	1746	662
725	1748	659
726	1750	657
727	1752	654
728	1753	651
729	1755	649
730	1757	646
731	1759	644
732	1762	641
733	1764	639
734	1765	636
735	1767	633
736	1768	631
737	1770	628
738	1772	626
739	1776	624
740	1778	621
741	1779	618
742	1781	616
743	1783	613
744	1785	611
745	1787	608
746	1790	606
747	1793	604
748	1795	601
749	1797	599
750	1799	596
751	1801	594
752	1803	591
753	1806	589
754	1808	587
755	1810	584
756	1813	582
757	1815	579
758	1816	576
759	1818	574
760	1822	572
761	1824	569
762	1826	567
763	1828	564
764	1830	562
765	1832	559
766	1836	557
767	1838	555
768	1840	552
769	1842	550
770	1844	547
771	1846	545
772	1847	542
773	1852	540
774	1854	538
775	1856	535
776	1858	533
777	1859	530
778	1861	528
779	1863	525
780	1867	523
781	1869	521
782	1871	518
783	1872	515
784	1874	513
785	1876	510
786	1878	508
787	1881	506
788	1883	503
789	1885	501
790	1887	498
791	1889	496
792	1891	493
793	1892	491
794	1895	488
795	1898	486
796	1899	483
797	1901	481
798	1903	478
799	1905	476
800	1907	473
801	1909	471
802	1913	469
803	1915	467
804	1918	464
805	1921	462
806	1924	460
807	1927	458
808	1930	455
809	1932	453
810	1934	450
811	1936	448
812	1938	445
813	1941	443
814	1943	441
815	1945	438
816	1947	436
817	1949	433
818	1950	431
819	1952	428
820	1955	426
821	1957	423
822	1959	421
823	1961	418
824	1963	416
825	1964	413
826	1966	411
827	1968	408
828	1970	406
829	1972	404
830	1974	401
831	1976	399
832	1978	396
833	1979	394
834	1981	391
835	1983	389
836	1987	386
837	1989	384
838	1990	382
839	1992	379
840	1994	377
841	1996	374
842	1998	372
843	2001	369
844	2003	367
845	2004	364
846	2006	362
847	2008	359
848	2010	357
849	2012	355
850	2015	352
851	2017	350
852	2019	348
853	2021	345
854	2023	343
855	2025	340
856	2027	338
857	2031	336
858	2033	333
859	2035	331
860	2037	328
861	2039	326
862	2040	323
863	2042	321
864	2045	319
865	2048	316
866	2049	314
867	2051	312
868	2053	309
869	2055	307
870	2057	304
871	2060	302
872	2063	300
873	2065	297
874	2068	295
875	2070	293
876	2072	290
877	2074	288
878	2077	285
879	2079	283
880	2081	281
881	2083	278
882	2085	276
883	2086	273
884	2089	271
885	2092	269
886	2094	266
887	2096	264
888	2097	261
889	2099	259
890	2101	257
891	2103	254
892	2106	252
893	2108	249
894	2110	247
895	2112	245
896	2113	242
897	2115	240
898	2117	237
899	2121	235
900	2123	233
901	2125	230
902	2127	228
903	2129	226
904	2131	223
905	2133	221
906	2137	219
907	2139	216
908	2140	214
909	2142	211
910	2144	209
911	2146	207
912	2151	204
913	2153	202
914	2155	200
915	2157	197
916	2158	195
917	2160	192
918	2162	190
919	2166	188
920	2168	186
921	2170	183
922	2171	181
923	2174	178
924	2175	176
925	2177	174
926	2181	171
927	2183	169
928	2185	167
929	2187	164
930	2189	162
931	2191	159
932	2193	157
933	2196	155
934	2198	152
935	2200	150
936	2203	148
937	2205	145
938	2207	143
939	2211	141
940	2213	138
941	2215	136
942	2217	134
943	2219	131
944	2221	129
945	2222	126
946	2229	124
947	2230	122
948	2232	119
949	2234	117
950	2236	115
951	2238	112
952	2241	110
953	2243	108
954	2245	105
955	2247	103
956	2248	101
957	2250	98
958	2252	96
959	2254	93
960	2257	91
961	2259	89
962	2260	86
963	2262	84
964	2264	82
965	2266	79
966	2268	77
967	2270	75
968	2273	72
969	2274	70
970	2276	67
971	2278	65
972	2280	63
973	2281	60
974	2283	58
975	2287	56
976	2288	53
977	2290	51
978	2293	49
979	2296	46
980	2298	44
981	2304	42
982	2306	39
983	2308	37
984	2310	35
985	2312	32
986	2314	30
987	2316	28
988	2319	25
989	2321	23
990	2323	21
991	2325	18
992	2327	16
993	2329	14
994	2333	11
995	2336	9
996	2339	7
997	2341	4
998	2343	2
999	2346	0
